"Loc_Cod","CanonicalName","ComputerName","Description","Enabled","OperatingSystem","WhenCreated","LastLogonDate","DaysSinceLastLogon"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010240","ARPACWN3010240","Account created by NGWS DNA app at:25-10-2023,18:48:24;5CG90577QZ","True","Windows 11 Enterprise","25/10/2023 13:49:07","11/07/2024 09:37:49","8"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010248","ARPACWN3010248","GPWS Windows 10 ECB64 6.1(00-AA-B01) Installation 2019-04-30-12-19-09, W10 64 bit","True","Windows 10 Enterprise","30/04/2019 11:25:12","14/07/2024 18:42:41","5"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010243","ARPACWN3010243",,"True","Windows 10 Enterprise","14/06/2024 11:57:34","24/06/2024 15:41:05","25"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWD3010318","ARBUEWD3010318",,"True",,"03/07/2024 10:40:44",,"N/A"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010246","ARPACWN3010246","GPWS Windows 10 ECB64 6.1(00-AA-B01) Installation 2019-04-30-12-29-24, W10 64 bit","True","Windows 10 Enterprise","30/04/2019 11:34:29","16/07/2024 09:51:02","3"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARCASWN3010275","ARCASWN3010275","GPWS Windows 10 SAC 2009 ECB 9.0 Installation 2021-12-13-16-58-14, W10 64 bit","True","Windows 10 Enterprise","13/12/2021 16:13:29","11/07/2024 22:00:46","7"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWN3010327","ARBUEWN3010327","GPWS Windows 10 ECB64 7.0(00-AA-B01) Installation 2019-06-03-12-38-39, W10 64 bit","True","Windows 11 Enterprise","03/06/2019 11:47:20","13/07/2024 09:27:49","6"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWN3010280","ARBUEWN3010280","GPWS Windows 10 ECB64 7.0(00-AA-B01) Installation 2019-04-30-12-35-23, W10 64 bit","True","Windows 10 Enterprise","30/04/2019 11:29:43","14/07/2024 14:01:32","5"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010250","ARPACWN3010250",,"True","Windows 10 Enterprise","17/11/2023 10:40:00","24/06/2024 22:10:43","24"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010234","ARPACWN3010234","GPWS Windows 10 ECB64 6.1(00-AA-B01) Installation 2019-04-18-10-07-30, W10 64 bit","True","Windows 10 Enterprise","18/04/2019 09:26:20","19/07/2024 18:07:18","0"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010268","ARPACWN3010268","GPWS Windows 10 ECB64 7.0(00-AA-B01) Installation 2019-05-13-17-24-15, W10 64 bit","True","Windows 10 Enterprise","13/05/2019 16:24:46","08/07/2024 07:59:21","11"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWN3010415","ARBUEWN3010415","Account created by NGWS DNA app at:25-09-2023,03:51:36;5CG3123NF2","True","Windows 11 Enterprise","24/09/2023 22:51:50","10/07/2024 10:22:36","9"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010182","ARPACWN3010182","GPWS Windows 10 SAC 1909 ECB 8.0 Installation 2021-05-05-11-55-51, W10 64 bit","True","Windows 10 Enterprise","31/03/2021 12:41:05","15/07/2024 08:01:08","4"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWN3010193","ARBUEWN3010193","[Managed by StaleAccounts] Account created by NGWS DNA app at:12-06-2023,21:39:38;5CG7332XZ8","True","Windows 10 Enterprise","12/06/2023 16:40:00","19/07/2024 08:22:20","0"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWN3010413","ARBUEWN3010413","Account created by NGWS DNA app at:07-09-2023,19:38:08","True","Windows 11 Enterprise","07/09/2023 14:38:24","18/07/2024 15:04:54","1"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARCASWN3010419","ARCASWN3010419","Account created by NGWS DNA app at:28-09-2023,21:13:28;5CG3123NF7","True","Windows 10 Enterprise","28/09/2023 16:13:44","15/07/2024 09:37:44","4"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARPACWN3010245","ARPACWN3010245","This account is created by NGWS DNA app at:23-09-2022,22:02:26;5CG7193L0V","True","Windows 10 Pro","23/09/2022 17:02:31","19/07/2024 17:46:55","0"
"NGWS-AR-DSC","phx-dc.dhl.com/NGWS/Computers/Prod/AR/DSC/Notebooks/ARBUEWN3010325","ARBUEWN3010325","GPWS Windows 10 ECB64 7.0(00-AA-B01) Installation 2019-06-03-11-09-44, W10 64 bit","True","Windows 10 Enterprise","03/06/2019 10:18:43","18/07/2024 20:36:14","0"
